Top 3 Clienți cu Cele Mai Multe Rezervări,2025-05-29 19:10:05
Vehicule Disponibile în Perioada 2025-06-01 - 2025-06-10,2025-05-29 19:10:05
Angajatul cu Cele Mai Multe Vehicule,2025-05-29 19:10:05
Mapare Client cu Număr Total de Rezervări,2025-05-29 19:10:05
Media Recenzii per Vehicul,2025-05-29 19:10:05
Angajați și Locațiile Lor cu Numărul Total de Vehicule,2025-05-29 19:10:05
Top 5 Vehicule cu Cea Mai Mare Medie a Ratingului și Minim 5 Recenzii,2025-05-29 19:10:05
Afișare Clienți cu Avans Maxim,2025-05-29 19:10:05
Calculul Totalului de Plată pe Rezervare,2025-05-29 19:10:05
Locațiile cu Numărul Lor de Rezervări,2025-05-29 19:10:05
Vehicule care Nu au Fost Rezervate Niciodată,2025-05-29 19:10:05
Număr de Rezervări pe Lunile Anului,2025-05-29 19:10:05
Distribuția Vehiculelor per Locație,2025-05-29 19:10:05
Obținerea Recenziilor Negative,2025-05-29 19:10:05
Obținerea Locațiilor Fără Angajați,2025-05-29 19:10:05
